vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_light,speed_limit,estimated_speed_of_collision,speed_of_collision_rangeseat_belt_used,injury_sustained,lethal,land_use,city
Car,Motorbike,12/06/18,18:17,0,19,70,80,80 - 85,0,1,1,Agricultural,Mombasa
Bicycle,Pedestrian,08/01/18,08:03,1,11,30,32,30 - 35,N/A,1,0,Transport,Nairobi
Bicycle,Pedestrian,11/12/18,19:55,0,21,20,31,30 - 35,N/A,1,0,Agricultural,Nairobi
Car,Motorbike,08/03/18,20:47,0,6,60,62,60 - 65,1,1,1,Agricultural,Nairobi
Car,Pedestrian,20/07/18,12:11,1,22,20,28,25 - 30,0,1,0,Commercial,Nakuru
Motorbike,Car,17/03/18,08:02,0,28,40,50,50 - 55,0,1,1,Transport,Mombasa
Motorbike,Motorbike,08/11/18,10:19,1,23,50,56,55 - 60,N/A,1,0,Commercial,Nairobi
Car,Car,10/10/18,11:18,0,0,60,53,50 - 55,1,1,0,Industrial,Nairobi
Car,Car,24/06/18,17:20,0,15,70,70,70 - 75,1,1,0,Agricultural,Nairobi
Bicycle,Car,02/01/18,02:03,1,12,50,47,45 - 50,1,1,0,Residential,Nairobi
Car,Pedestrian,11/01/18,09:13,0,10,40,43,40 - 45,0,1,0,Residential,Nakuru
Motorbike,Car,17/06/18,03:26,1,9,40,40,40 - 45,0,1,0,Residential,Kikuyu
Pedestrian,Car,21/12/18,20:07,1,21,30,20,20 - 25,1,1,0,Commercial,Mombasa
Motorbike,Car,27/01/18,19:15,0,18,60,62,60 - 65,1,1,0,Agricultural,Nairobi
Car,Pedestrian,23/12/18,17:29,0,12,30,35,35 - 40,1,0,0,Residential,Nairobi
Car,Car,28/06/18,10:58,1,18,50,53,50 - 55,1,1,0,Residential,Kikuyu
Bicycle,Pedestrian,08/11/18,10:50,0,25,20,29,25 - 30,N/A,1,0,Agricultural,Nairobi
Motorbike,Motorbike,02/03/18,09:15,0,24,40,47,45 - 50,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,21/11/18,20:16,0,10,30,18,15 - 20,N/A,1,0,Residential,Nairobi
Car,Car,18/07/18,19:45,0,7,30,22,20 - 25,0,1,0,Agricultural,Kehancha
Bicycle,Bicycle,15/09/18,19:34,0,1,30,30,30 - 35,N/A,0,0,Transport,Nairobi
Car,Pedestrian,14/11/18,05:13,0,32,40,46,45 - 50,1,1,0,Industrial,Kehancha
Car,Car,12/09/18,18:27,0,9,40,32,30 - 35,0,1,0,Transport,Kikuyu
Car,Motorbike,25/03/18,18:13,1,28,50,53,50 - 55,1,1,0,Residential,Mombasa
Bicycle,Bicycle,26/01/18,14:57,0,27,30,30,30 - 35,N/A,1,0,Agricultural,Mombasa
Motorbike,Motorbike,20/09/18,20:02,0,12,20,19,15 - 20,N/A,1,0,Agricultural,Nairobi
Car,Bicycle,26/05/18,17:04,0,20,30,26,25 - 30,1,0,0,Agricultural,Nairobi
Motorbike,Pedestrian,24/12/18,17:28,0,25,40,31,30 - 35,N/A,1,0,Transport,Nairobi
Pedestrian,Motorbike,11/11/18,17:18,0,6,40,43,40 - 45,N/A,1,0,Transport,Nairobi
Car,Car,24/02/18,19:42,0,6,70,67,65 - 70,1,1,0,Agricultural,Nairobi
Bicycle,Motorbike,16/02/18,08:51,0,24,30,26,25 - 30,N/A,1,0,Residential,Nairobi
Bicycle,Pedestrian,25/09/18,09:35,1,24,30,31,30 - 35,N/A,1,0,Commercial,Nairobi
Car,Bicycle,02/05/18,09:44,1,8,40,30,30 - 35,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,23/07/18,20:32,0,7,30,33,30 - 35,N/A,0,0,Agricultural,Nairobi
Car,Car,20/01/18,19:15,0,8,50,40,40 - 45,0,1,1,Commercial,Nakuru
Car,Motorbike,05/05/18,10:18,0,12,50,52,50 - 55,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,13/11/18,18:58,1,29,20,22,20 - 25,N/A,0,0,Transport,Kikuyu
Bicycle,Motorbike,05/02/18,02:58,1,12,20,21,20 - 25,N/A,1,0,Commercial,Nairobi
Motorbike,Car,12/09/18,10:59,0,28,40,37,35 - 40,1,1,0,Agricultural,Nairobi
Car,Car,09/03/18,20:51,1,10,60,53,50 - 55,1,1,0,Residential,Nairobi
Motorbike,Car,08/07/18,18:34,1,17,40,42,40 - 45,1,1,0,Commercial,Nairobi
Car,Car,19/02/18,17:50,1,31,60,56,55 - 60,0,1,0,Residential,Mombasa
Pedestrian,Bicycle,05/11/18,17:19,0,12,30,35,35 - 40,N/A,0,0,Agricultural,Nairobi
Car,Car,13/02/18,07:43,1,29,70,70,70 - 75,1,1,0,Residential,Nairobi
Bicycle,Bicycle,18/01/18,18:46,0,32,40,48,45 - 50,N/A,1,0,Transport,Nakuru
Car,Pedestrian,23/02/18,19:37,0,9,20,31,30 - 35,0,1,0,Industrial,Mombasa
Pedestrian,Car,01/05/18,19:48,0,6,20,29,25 - 30,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,05/02/18,08:38,0,32,20,18,15 - 20,N/A,0,0,Commercial,Kisumu
Car,Car,22/07/18,19:33,1,14,60,57,55 - 60,1,1,0,Residential,Mombasa
Bicycle,Motorbike,08/03/18,17:25,0,10,20,20,20 - 25,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,14/03/18,20:56,0,25,40,38,35 - 40,N/A,1,0,Industrial,Mombasa
Pedestrian,Pedestrian,12/05/18,18:57,0,1,30,21,20 - 25,N/A,0,0,Agricultural,Kisumu
Car,Car,07/02/18,10:32,0,11,40,39,35 - 40,0,1,0,Transport,Nakuru
Bicycle,Car,28/12/18,02:07,1,29,20,28,25 - 30,1,0,0,Residential,Nairobi
Pedestrian,Car,10/07/18,19:00,1,2,50,56,55 - 60,0,1,0,Residential,Nairobi
Bicycle,Bicycle,08/05/18,18:10,0,23,20,32,30 - 35,N/A,0,0,Residential,Nairobi
Bicycle,Bicycle,06/08/18,19:51,0,25,30,36,35 - 40,N/A,1,0,Commercial,Nairobi
Bicycle,Pedestrian,09/01/18,17:35,0,4,30,31,30 - 35,N/A,0,0,Agricultural,Nairobi
Car,Car,03/12/18,09:58,0,16,60,55,55 - 60,1,1,0,Residential,Nairobi
Motorbike,Car,19/11/18,09:37,1,31,50,56,55 - 60,1,1,0,Commercial,Nairobi
Car,Car,23/03/18,20:53,1,9,50,46,45 - 50,1,1,0,Residential,Nairobi
Motorbike,Car,18/02/18,20:15,0,38,40,45,45 - 50,1,1,0,Residential,Kisumu
Car,Motorbike,04/10/18,14:39,0,17,50,54,50 - 55,1,1,1,Agricultural,Nairobi
Car,Motorbike,03/09/18,18:03,0,23,40,43,40 - 45,1,1,0,Industrial,Mombasa
Bicycle,Motorbike,15/05/18,10:41,0,10,40,34,30 - 35,N/A,1,0,Agricultural,Mombasa
Bicycle,Car,05/06/18,19:26,1,23,50,47,45 - 50,1,1,0,Transport,Nairobi
Bicycle,Motorbike,23/01/18,18:21,1,4,20,23,20 - 25,N/A,1,0,Residential,Mombasa
Car,Motorbike,17/04/18,15:33,1,24,40,49,45 - 50,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,06/10/18,07:49,1,10,40,43,40 - 45,N/A,0,0,Commercial,Nairobi
Car,Motorbike,21/05/18,17:19,0,12,40,42,40 - 45,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,19/02/18,17:29,1,19,30,29,25 - 30,N/A,0,0,Residential,Nairobi
Car,Bicycle,08/09/18,10:30,1,6,40,38,35 - 40,1,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,02/03/18,17:59,1,4,30,30,30 - 35,N/A,0,0,Residential,Mombasa
Motorbike,Car,06/12/18,10:41,0,36,40,53,50 - 55,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,16/08/18,09:56,0,11,30,28,25 - 30,N/A,1,0,Agricultural,Eldoret
Car,Car,27/01/18,19:42,0,26,60,58,55 - 60,1,1,0,Commercial,Nakuru
Bicycle,Pedestrian,11/01/18,17:35,1,16,40,42,40 - 45,N/A,1,0,Residential,Mombasa
Pedestrian,Car,08/04/18,17:19,0,18,30,28,25 - 30,0,1,0,Residential,Mombasa
Car,Motorbike,19/07/18,09:35,1,18,40,36,35 - 40,0,1,0,Residential,Eldoret
Bicycle,Pedestrian,25/10/18,13:07,1,6,20,22,20 - 25,N/A,1,0,Residential,Nairobi
Car,Car,27/05/18,18:06,0,21,40,42,40 - 45,1,1,0,Agricultural,Nairobi
Car,Pedestrian,25/04/18,19:30,0,17,30,31,30 - 35,1,1,0,Agricultural,Mombasa
Car,Car,22/04/18,08:23,0,6,50,40,40 - 45,1,1,0,Industrial,Mombasa
Car,Car,25/09/18,06:32,1,5,70,69,65 - 70,1,1,0,Residential,Nairobi
Bicycle,Bicycle,27/11/18,17:33,0,20,30,30,30 - 35,N/A,0,0,Residential,Nairobi
Car,Pedestrian,25/02/18,08:56,0,26,20,25,25 - 30,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,01/03/18,10:53,0,3,30,36,35 - 40,N/A,0,0,Transport,Mombasa
Bicycle,Pedestrian,20/06/18,10:16,0,15,20,30,30 - 35,N/A,1,0,Industrial,Mombasa
Car,Car,21/04/18,09:25,0,34,40,43,40 - 45,1,1,0,Residential,Kehancha
Car,Motorbike,12/09/18,07:47,1,37,50,48,45 - 50,1,1,0,Transport,Nairobi
Car,Car,17/11/18,18:11,0,14,60,51,50 - 55,1,1,0,Agricultural,Nairobi
Car,Motorbike,17/05/18,08:17,0,27,50,55,55 - 60,0,1,1,Industrial,Kisumu
Car,Car,13/01/18,18:08,0,31,30,36,35 - 40,1,1,0,Residential,Nairobi
Motorbike,Bicycle,06/06/18,16:52,0,26,50,55,55 - 60,N/A,1,1,Transport,Mombasa
Pedestrian,Bicycle,16/03/18,20:29,0,3,30,26,25 - 30,N/A,0,0,Agricultural,Mombasa
Pedestrian,Motorbike,15/03/18,10:11,1,32,20,20,20 - 25,N/A,1,0,Commercial,Kikuyu
Car,Motorbike,21/10/18,20:39,1,21,40,38,35 - 40,0,1,0,Commercial,Kisumu
Car,Car,05/03/18,13:56,0,6,50,44,40 - 45,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,21/11/18,10:17,0,9,40,40,40 - 45,N/A,1,0,Industrial,Nairobi
Bicycle,Pedestrian,09/09/18,06:43,0,11,30,27,25 - 30,N/A,1,0,Agricultural,Mombasa
Bicycle,Bicycle,14/08/18,09:29,1,13,30,30,30 - 35,N/A,1,0,Residential,Mombasa
Car,Car,15/06/18,14:07,0,24,50,57,55 - 60,1,1,0,Agricultural,Nairobi
Motorbike,Car,17/01/18,18:15,0,29,70,84,80 - 85,1,1,1,Residential,Mombasa
Motorbike,Motorbike,02/02/18,08:05,0,5,20,11,10 - 15,N/A,1,0,Agricultural,Mombasa
Car,Car,03/03/18,10:37,0,18,40,44,40 - 45,1,1,0,Agricultural,Nairobi
Car,Motorbike,05/07/18,17:09,1,15,20,21,20 - 25,0,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,15/04/18,08:12,1,10,20,20,20 - 25,N/A,0,0,Residential,Nairobi
Car,Car,26/02/18,19:30,0,5,50,56,55 - 60,1,1,0,Residential,Nairobi
Bicycle,Car,25/01/18,14:48,0,26,50,46,45 - 50,1,1,0,Agricultural,Kisumu
Motorbike,Car,26/01/18,08:56,0,18,60,60,60 - 65,1,1,0,Residential,Mombasa
Car,Car,14/02/18,01:52,1,8,30,30,30 - 35,0,1,0,Residential,Nairobi
Pedestrian,Car,08/04/18,19:08,0,21,40,28,25 - 30,0,1,0,Agricultural,Nakuru
Pedestrian,Car,27/06/18,17:12,1,6,40,40,40 - 45,1,0,0,Industrial,Nairobi
Motorbike,Car,19/11/18,05:16,0,37,40,31,30 - 35,0,1,0,Industrial,Nairobi
Car,Car,13/05/18,10:01,0,9,40,46,45 - 50,1,1,0,Industrial,Nairobi
Motorbike,Bicycle,20/03/18,17:40,0,14,20,7,5 - 10,N/A,1,0,Residential,Nairobi
Car,Motorbike,13/02/18,10:53,0,19,60,63,60 - 65,1,1,1,Residential,Nairobi
Car,Bicycle,18/05/18,15:13,1,29,30,26,25 - 30,0,1,0,Commercial,Nakuru
Bicycle,Pedestrian,02/04/18,18:25,1,14,30,38,35 - 40,N/A,0,0,Transport,Nairobi
Car,Car,15/07/18,15:40,1,25,50,51,50 - 55,1,1,0,Residential,Nakuru
Car,Bicycle,12/09/18,16:41,1,16,20,26,25 - 30,1,1,0,Commercial,Nairobi
Car,Car,12/08/18,20:28,0,12,60,50,50 - 55,0,1,1,Industrial,Kehancha
Motorbike,Bicycle,10/12/18,10:53,1,4,20,21,20 - 25,N/A,1,0,Commercial,Kisumu
Car,Car,07/04/18,00:54,0,15,40,53,50 - 55,1,1,0,Residential,Nairobi
Motorbike,Car,13/12/18,09:03,1,21,40,50,50 - 55,1,1,1,Residential,Mombasa
Car,Car,26/03/18,21:29,0,4,60,65,65 - 70,1,1,0,Industrial,Mombasa
Pedestrian,Pedestrian,28/01/18,21:07,1,14,30,31,30 - 35,N/A,0,0,Commercial,Kisumu
Bicycle,Bicycle,19/01/18,20:07,1,14,30,33,30 - 35,N/A,1,0,Commercial,Nairobi
Motorbike,Motorbike,15/12/18,18:57,0,13,30,40,40 - 45,N/A,1,0,Agricultural,Nairobi
Car,Motorbike,18/04/18,18:46,0,13,20,10,10 - 15,1,1,0,Residential,Mombasa
Car,Car,01/08/18,23:43,0,29,60,47,45 - 50,1,1,0,Agricultural,Nairobi
Motorbike,Car,18/05/18,19:21,1,9,30,30,30 - 35,1,1,0,Commercial,Nairobi
Motorbike,Bicycle,05/09/18,07:09,0,11,40,38,35 - 40,N/A,1,0,Residential,Nairobi
Bicycle,Motorbike,06/06/18,08:36,1,20,20,28,25 - 30,N/A,1,0,Commercial,Kikuyu
Pedestrian,Pedestrian,21/11/18,19:45,1,13,30,30,30 - 35,N/A,1,0,Residential,Eldoret
Car,Car,08/03/18,14:46,1,31,60,62,60 - 65,1,1,0,Industrial,Nairobi
Car,Bicycle,26/12/18,08:24,0,20,40,46,45 - 50,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,17/11/18,12:37,0,1,20,12,10 - 15,N/A,0,0,Agricultural,Mombasa
Pedestrian,Pedestrian,20/04/18,20:27,0,0,30,36,35 - 40,N/A,0,0,Commercial,Nairobi
Motorbike,Car,10/01/18,18:49,1,15,20,30,30 - 35,1,1,0,Residential,Mombasa
Car,Motorbike,06/09/18,09:57,0,27,60,67,65 - 70,1,1,1,Agricultural,Mombasa
Pedestrian,Bicycle,14/05/18,19:35,0,20,20,21,20 - 25,N/A,1,0,Industrial,Kehancha
Car,Car,23/11/18,03:44,0,27,40,42,40 - 45,0,1,0,Agricultural,Nakuru
Pedestrian,Pedestrian,20/04/18,06:54,0,24,20,24,20 - 25,N/A,1,0,Agricultural,Eldoret
Bicycle,Car,27/10/18,05:31,0,15,40,33,30 - 35,1,1,0,Residential,Eldoret
Motorbike,Car,20/02/18,10:35,1,20,20,8,5 - 10,1,1,0,Transport,Nairobi
Car,Pedestrian,15/12/18,12:29,1,18,40,31,30 - 35,1,1,0,Residential,Kehancha
Motorbike,Motorbike,06/12/18,19:04,0,55,30,33,30 - 35,N/A,1,0,Agricultural,Kehancha
Motorbike,Car,07/08/18,09:57,0,15,50,61,60 - 65,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,19/09/18,19:38,1,8,30,34,30 - 35,N/A,1,0,Residential,Mombasa
Bicycle,Car,17/01/18,17:15,0,25,30,32,30 - 35,1,0,0,Agricultural,Mombasa
Car,Bicycle,28/02/18,17:14,0,19,20,16,15 - 20,1,0,0,Residential,Nairobi
Motorbike,Pedestrian,27/12/18,19:29,0,18,20,17,15 - 20,N/A,1,0,Agricultural,Mombasa
Car,Car,27/09/18,18:46,0,24,60,57,55 - 60,1,1,0,Commercial,Nairobi
Car,Car,05/02/18,17:35,1,14,50,44,40 - 45,1,1,0,Commercial,Nairobi
Car,Car,08/11/18,23:23,0,24,50,52,50 - 55,1,1,1,Transport,Nairobi
Pedestrian,Car,09/03/18,20:48,1,14,50,63,60 - 65,0,1,0,Commercial,Kisumu
Car,Car,28/04/18,19:14,0,10,50,47,45 - 50,1,1,0,Commercial,Nairobi
Car,Car,04/04/18,09:41,0,13,50,50,50 - 55,1,1,0,Transport,Mombasa
Car,Car,21/01/18,04:46,0,11,50,55,55 - 60,1,1,0,Industrial,Nairobi
Pedestrian,Bicycle,14/09/18,04:33,1,20,30,39,35 - 40,N/A,0,0,Residential,Eldoret
Car,Car,26/09/18,15:26,0,2,50,47,45 - 50,1,1,0,Residential,Mombasa
Pedestrian,Bicycle,14/06/18,21:28,1,16,30,27,25 - 30,N/A,1,0,Commercial,Kisumu
Bicycle,Motorbike,12/05/18,20:45,0,33,20,23,20 - 25,N/A,1,0,Commercial,Nairobi
Motorbike,Car,07/03/18,00:01,0,21,40,49,45 - 50,1,1,0,Industrial,Mombasa
Motorbike,Car,07/07/18,21:42,1,7,70,63,60 - 65,1,1,0,Commercial,Nairobi
Bicycle,Motorbike,12/11/18,20:47,0,24,30,24,20 - 25,N/A,1,0,Residential,Nairobi
Motorbike,Car,23/09/18,17:56,0,9,60,66,65 - 70,1,1,1,Residential,Mombasa
Motorbike,Car,15/07/18,11:47,0,25,40,54,50 - 55,1,1,1,Transport,Kisumu
Car,Motorbike,11/11/18,18:46,0,1,40,40,40 - 45,1,1,0,Residential,Nakuru
Bicycle,Motorbike,09/02/18,06:18,0,24,40,46,45 - 50,N/A,1,0,Commercial,Kikuyu
Car,Motorbike,25/04/18,08:17,0,32,50,38,35 - 40,0,1,1,Agricultural,Nairobi
Motorbike,Motorbike,11/03/18,18:20,0,17,40,38,35 - 40,N/A,1,0,Residential,Eldoret
Car,Pedestrian,22/08/18,18:26,0,23,40,43,40 - 45,1,0,0,Commercial,Nairobi
Bicycle,Bicycle,20/08/18,10:56,0,16,30,19,15 - 20,N/A,1,0,Industrial,Nairobi
Car,Motorbike,25/12/18,18:18,1,18,40,43,40 - 45,1,1,0,Residential,Nairobi
Car,Pedestrian,07/06/18,09:37,0,17,40,32,30 - 35,0,1,1,Transport,Kisumu
Bicycle,Motorbike,06/03/18,23:06,0,34,30,27,25 - 30,N/A,1,0,Commercial,Nairobi
Car,Car,07/02/18,20:47,0,21,60,58,55 - 60,1,1,1,Agricultural,Nakuru
Car,Car,02/08/18,10:04,0,20,60,46,45 - 50,0,1,1,Commercial,Kehancha
Bicycle,Car,16/09/18,18:17,0,1,50,61,60 - 65,1,0,0,Residential,Mombasa
Car,Car,03/11/18,08:02,0,22,50,46,45 - 50,1,1,0,Agricultural,Nairobi
Bicycle,Car,16/07/18,19:08,0,20,30,21,20 - 25,1,1,0,Residential,Mombasa
Car,Motorbike,03/01/18,16:07,1,15,40,43,40 - 45,0,1,0,Industrial,Kikuyu
Car,Motorbike,23/03/18,17:12,0,20,60,61,60 - 65,0,1,1,Commercial,Nairobi
Car,Car,28/03/18,20:23,0,23,50,43,40 - 45,1,1,0,Residential,Mombasa
Bicycle,Pedestrian,03/02/18,01:31,0,16,20,22,20 - 25,N/A,1,0,Agricultural,Eldoret
Car,Car,07/05/18,18:40,1,22,50,46,45 - 50,0,1,0,Transport,Nairobi
Motorbike,Car,03/08/18,20:39,0,10,40,42,40 - 45,1,1,0,Residential,Kehancha
Car,Car,05/05/18,22:53,1,14,40,48,45 - 50,1,1,0,Commercial,Nairobi
Car,Bicycle,21/09/18,10:32,1,17,30,33,30 - 35,0,1,0,Residential,Nairobi
Car,Pedestrian,10/07/18,20:24,0,17,20,20,20 - 25,1,1,0,Agricultural,Nairobi
Car,Motorbike,24/11/18,20:58,0,32,50,49,45 - 50,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,24/01/18,21:10,0,26,30,31,30 - 35,N/A,1,0,Residential,Eldoret
Car,Bicycle,02/08/18,08:35,0,17,40,35,35 - 40,1,1,0,Agricultural,Mombasa
Car,Bicycle,14/07/18,01:41,0,10,30,33,30 - 35,1,1,0,Residential,Nairobi
Car,Car,19/04/18,19:34,1,25,50,49,45 - 50,1,1,0,Transport,Kikuyu
Pedestrian,Motorbike,25/02/18,20:04,1,24,30,23,20 - 25,N/A,1,0,Commercial,Nairobi
Pedestrian,Motorbike,24/07/18,11:17,0,15,40,42,40 - 45,N/A,1,0,Residential,Nakuru
Bicycle,Motorbike,21/05/18,20:24,1,17,30,21,20 - 25,N/A,1,0,Residential,Nairobi
Car,Car,20/05/18,20:15,0,12,50,47,45 - 50,1,1,0,Agricultural,Nairobi
Car,Car,13/02/18,22:32,1,33,50,44,40 - 45,1,1,0,Residential,Nairobi
Car,Car,16/10/18,20:52,0,16,50,45,45 - 50,1,1,0,Residential,Nairobi
Car,Motorbike,02/06/18,10:53,0,23,20,17,15 - 20,1,1,0,Transport,Mombasa
Bicycle,Pedestrian,16/05/18,19:54,1,6,20,18,15 - 20,N/A,0,0,Residential,Nairobi
Bicycle,Car,13/07/18,21:31,1,16,30,23,20 - 25,1,1,0,Residential,Nairobi
Motorbike,Car,04/08/18,09:24,0,15,40,39,35 - 40,1,1,0,Residential,Nairobi
Motorbike,Motorbike,05/12/18,19:02,0,17,40,40,40 - 45,N/A,1,0,Residential,Mombasa
Car,Car,11/03/18,09:02,1,35,40,25,25 - 30,1,1,0,Residential,Nairobi
Motorbike,Motorbike,02/08/18,09:29,0,27,40,32,30 - 35,N/A,1,0,Residential,Mombasa
Car,Pedestrian,28/07/18,10:07,0,20,30,41,40 - 45,1,1,0,Agricultural,Nairobi
Car,Car,05/07/18,20:35,0,22,50,42,40 - 45,1,1,0,Agricultural,Kehancha
Bicycle,Pedestrian,15/10/18,16:16,1,31,20,15,15 - 20,N/A,1,0,Residential,Nairobi
Bicycle,Car,16/02/18,05:23,0,29,20,31,30 - 35,0,1,0,Agricultural,Nairobi
Motorbike,Pedestrian,16/01/18,18:26,0,20,30,37,35 - 40,N/A,1,0,Commercial,Mombasa
Bicycle,Pedestrian,02/10/18,18:44,1,1,40,52,50 - 55,N/A,0,0,Residential,Kikuyu
Pedestrian,Pedestrian,12/09/18,22:33,1,7,30,32,30 - 35,N/A,0,0,Transport,Nairobi
Car,Pedestrian,20/10/18,18:10,1,25,30,28,25 - 30,1,0,0,Transport,Mombasa
Pedestrian,Motorbike,04/12/18,10:47,0,30,40,37,35 - 40,N/A,1,0,Residential,Mombasa
Car,Car,01/04/18,04:13,1,5,40,37,35 - 40,1,0,0,Residential,Nakuru
Bicycle,Motorbike,07/10/18,20:23,0,31,20,20,20 - 25,N/A,1,0,Agricultural,Kisumu
Car,Motorbike,07/02/18,10:37,1,28,50,52,50 - 55,0,1,1,Residential,Nakuru
Bicycle,Bicycle,27/07/18,02:07,0,32,30,32,30 - 35,N/A,1,0,Agricultural,Mombasa
Motorbike,Car,08/03/18,08:40,1,7,20,19,15 - 20,1,1,0,Commercial,Nairobi
Motorbike,Car,05/09/18,19:59,1,1,40,38,35 - 40,0,1,1,Commercial,Nairobi
Pedestrian,Pedestrian,14/12/18,08:36,0,13,20,33,30 - 35,N/A,0,0,Agricultural,Nairobi
Pedestrian,Pedestrian,21/11/18,18:03,0,20,30,41,40 - 45,N/A,0,0,Residential,Nairobi
Pedestrian,Pedestrian,06/08/18,09:59,1,8,40,36,35 - 40,N/A,0,0,Commercial,Kikuyu
Car,Car,20/10/18,18:48,1,21,50,43,40 - 45,1,0,0,Residential,Nairobi
Car,Car,12/12/18,18:05,0,19,50,45,45 - 50,0,1,0,Agricultural,Kehancha
Car,Car,06/09/18,08:44,1,32,60,54,50 - 55,1,1,0,Commercial,Nairobi
Car,Car,24/12/18,09:17,0,20,50,53,50 - 55,1,1,0,Residential,Kisumu
Car,Car,04/01/18,17:58,0,25,70,75,75 - 80,1,1,1,Residential,Nairobi
Motorbike,Car,18/08/18,19:22,0,1,50,52,50 - 55,1,1,1,Agricultural,Mombasa
Bicycle,Bicycle,02/02/18,19:32,1,18,30,25,25 - 30,N/A,1,0,Transport,Mombasa
Bicycle,Motorbike,18/11/18,20:09,0,4,40,42,40 - 45,N/A,1,1,Transport,Kikuyu
Pedestrian,Pedestrian,16/02/18,19:22,1,26,40,33,30 - 35,N/A,1,0,Commercial,Nairobi
Bicycle,Bicycle,12/09/18,17:20,0,19,30,30,30 - 35,N/A,1,0,Residential,Kikuyu
Car,Car,19/03/18,06:08,0,3,50,45,45 - 50,1,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,15/12/18,09:47,0,24,20,23,20 - 25,N/A,0,0,Agricultural,Nairobi
Bicycle,Bicycle,06/03/18,13:14,0,17,30,26,25 - 30,N/A,1,0,Agricultural,Nairobi
Car,Car,24/12/18,18:25,0,29,70,61,60 - 65,1,1,0,Residential,Mombasa
Bicycle,Bicycle,27/02/18,21:03,1,17,30,38,35 - 40,N/A,1,0,Residential,Nairobi
Pedestrian,Pedestrian,19/12/18,18:44,0,19,20,32,30 - 35,N/A,0,0,Agricultural,Nairobi
Car,Car,21/11/18,12:47,1,17,60,61,60 - 65,1,1,0,Residential,Mombasa
Car,Car,27/08/18,17:42,1,5,50,63,60 - 65,1,0,0,Residential,Nairobi
Motorbike,Pedestrian,22/04/18,05:54,0,8,20,32,30 - 35,N/A,1,0,Industrial,Kikuyu
Bicycle,Motorbike,08/11/18,09:03,0,1,40,34,30 - 35,N/A,1,0,Transport,Mombasa
Car,Car,09/07/18,18:55,0,20,40,45,45 - 50,1,1,0,Residential,Nairobi
Bicycle,Car,06/10/18,18:14,0,44,30,27,25 - 30,1,0,0,Agricultural,Mombasa
Car,Bicycle,11/05/18,20:16,1,16,40,37,35 - 40,1,1,0,Residential,Mombasa
Pedestrian,Car,21/09/18,15:01,0,30,40,50,50 - 55,1,1,0,Residential,Mombasa
Pedestrian,Pedestrian,12/02/18,08:39,0,22,20,12,10 - 15,N/A,0,0,Transport,Nakuru
Car,Car,12/07/18,20:03,0,17,50,45,45 - 50,1,1,0,Agricultural,Nairobi
Car,Motorbike,25/11/18,06:19,1,11,40,27,25 - 30,0,1,0,Commercial,Nairobi
Car,Car,25/09/18,09:35,1,13,50,50,50 - 55,0,1,0,Transport,Mombasa
Pedestrian,Pedestrian,22/04/18,20:30,0,19,20,16,15 - 20,N/A,0,0,Residential,Nairobi
Car,Car,24/12/18,19:44,0,40,50,51,50 - 55,0,1,1,Industrial,Nairobi
Motorbike,Car,27/05/18,17:45,0,21,50,56,55 - 60,1,1,1,Commercial,Nakuru
Car,Bicycle,09/09/18,19:19,1,30,30,21,20 - 25,1,1,0,Residential,Kisumu
Car,Car,07/07/18,17:42,0,24,50,38,35 - 40,1,1,0,Residential,Mombasa
Pedestrian,Motorbike,16/05/18,09:39,0,1,30,19,15 - 20,N/A,1,0,Residential,Eldoret
Car,Car,28/01/18,10:04,1,21,30,19,15 - 20,1,1,0,Residential,Mombasa
Car,Motorbike,03/02/18,10:28,0,32,60,62,60 - 65,1,1,0,Agricultural,Mombasa
Car,Car,14/07/18,08:32,0,12,50,50,50 - 55,1,1,0,Residential,Mombasa
Car,Car,01/12/18,02:51,1,12,50,61,60 - 65,0,1,0,Commercial,Mombasa
Car,Car,22/04/18,00:52,0,15,70,71,70 - 75,1,1,1,Agricultural,Nairobi
Motorbike,Car,10/10/18,22:07,0,9,60,58,55 - 60,1,1,0,Agricultural,Nairobi
Car,Motorbike,08/01/18,09:30,0,1,40,36,35 - 40,0,1,0,Industrial,Kikuyu
Car,Car,23/08/18,22:19,0,16,60,66,65 - 70,1,1,0,Agricultural,Nairobi
Car,Car,11/08/18,18:42,0,15,60,55,55 - 60,1,1,0,Transport,Nairobi
