vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_tight,speed_limit,estimated_speed_of_collision,seat_belt_used,injury_sustained,lethal,land_use,city
Car,Car,01/03/18,19:19,1,11,60,62,1,1,0,Commercial,Nairobi
Car,Car,07/02/18,09:37,1,24,40,39,0,1,0,Residential,Kikuyu
Car,Car,01/08/18,09:16,0,8,60,52,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,01/04/18,18:21,0,7,30,19,N/A,0,0,Agricultural,Nairobi
Car,Motorbike,01/03/18,18:25,0,12,40,32,0,1,0,Commercial,Nakuru
Pedestrian,Car,16/05/18,04:56,0,21,40,37,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,14/11/18,08:22,1,1,20,12,N/A,1,0,Residential,Nairobi
Car,Car,17/08/18,17:58,0,11,60,60,1,1,0,Residential,Kikuyu
Car,Car,11/04/18,06:27,0,10,50,63,1,1,0,Residential,Mombasa
Bicycle,Motorbike,08/07/18,17:52,0,5,30,40,N/A,1,0,Transport,Mombasa
Bicycle,Pedestrian,23/09/18,20:57,0,14,30,30,N/A,1,0,Residential,Eldoret
Motorbike,Car,22/11/18,20:34,0,32,60,65,1,1,0,Residential,Nairobi
Car,Car,12/08/18,09:13,0,2,50,54,1,1,0,Residential,Mombasa
Pedestrian,Bicycle,16/02/18,03:27,0,28,30,32,N/A,0,0,Residential,Nairobi
Car,Car,21/02/18,19:11,1,39,40,40,1,1,0,Residential,Nairobi
Car,Car,19/02/18,20:42,0,24,40,27,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,12/07/18,18:24,1,13,20,16,N/A,1,0,Residential,Mombasa
Motorbike,Pedestrian,27/05/18,09:50,0,35,20,26,N/A,1,0,Residential,Nairobi
Motorbike,Bicycle,04/01/18,22:36,1,13,20,15,N/A,1,0,Commercial,Nairobi
Bicycle,Bicycle,26/08/18,19:23,0,27,30,34,N/A,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,20/07/18,10:25,0,17,30,28,N/A,0,0,Residential,Kehancha
Bicycle,Pedestrian,23/10/18,17:18,0,17,20,14,N/A,0,0,Transport,Nairobi
Car,Car,15/04/18,19:21,1,12,60,61,0,1,0,Transport,Mombasa
Car,Car,09/05/18,17:31,1,2,70,76,1,0,0,Commercial,Mombasa
Pedestrian,Bicycle,28/07/18,05:58,0,20,20,22,N/A,0,0,Residential,Nakuru
Car,Car,16/12/18,20:57,0,8,70,83,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,14/06/18,18:24,0,25,30,31,N/A,1,0,Residential,Nairobi
Car,Car,09/08/18,10:30,1,2,40,40,1,1,0,Industrial,Nairobi
Motorbike,Motorbike,17/09/18,09:25,0,11,50,49,N/A,1,0,Transport,Nairobi
Car,Car,20/05/18,08:50,1,12,50,46,1,1,0,Transport,Nairobi
Car,Motorbike,02/09/18,10:56,0,22,20,25,1,1,0,Residential,Nakuru
Motorbike,Motorbike,02/12/18,20:22,0,10,40,41,N/A,1,0,Agricultural,Mombasa
Bicycle,Pedestrian,01/08/18,19:58,0,4,40,41,N/A,1,0,Residential,Nairobi
Car,Car,07/12/18,20:17,0,9,50,47,0,1,1,Agricultural,Mombasa
Car,Car,12/09/18,13:49,1,9,60,61,1,1,0,Industrial,Nairobi
Car,Pedestrian,13/07/18,08:32,0,34,50,52,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,06/05/18,20:58,1,18,20,31,N/A,0,0,Commercial,Nairobi
Car,Car,27/10/18,10:12,0,22,50,51,1,1,0,Agricultural,Mombasa
Car,Pedestrian,15/06/18,08:46,1,29,20,31,1,1,0,Residential,Nairobi
Bicycle,Bicycle,21/05/18,03:01,0,21,30,31,N/A,1,0,Transport,Mombasa
Bicycle,Bicycle,06/03/18,18:01,1,25,30,26,N/A,0,0,Transport,Nairobi
Car,Car,05/03/18,20:05,0,15,50,57,1,1,0,Agricultural,Kikuyu
Car,Pedestrian,14/03/18,17:04,0,8,30,30,0,0,0,Transport,Nairobi
Car,Car,23/07/18,08:24,1,7,60,62,0,1,0,Residential,Mombasa
Car,Pedestrian,14/05/18,19:25,1,15,30,30,0,1,0,Commercial,Nairobi
Bicycle,Bicycle,04/06/18,17:57,1,17,30,32,N/A,0,0,Residential,Nairobi
Bicycle,Motorbike,17/10/18,09:17,0,14,40,42,N/A,1,0,Transport,Nakuru
Bicycle,Car,05/12/18,17:36,1,29,30,32,1,1,0,Residential,Nairobi
Car,Car,18/08/18,17:39,0,4,40,48,1,0,0,Residential,Nairobi
Car,Car,04/01/18,20:19,1,25,50,51,1,1,0,Residential,Nairobi
Car,Car,03/11/18,21:56,1,12,70,72,1,1,0,Commercial,Nairobi
Pedestrian,Car,15/07/18,20:56,0,2,30,33,0,1,0,Residential,Nairobi
Car,Motorbike,28/04/18,23:38,0,0,20,20,1,1,0,Agricultural,Mombasa
Bicycle,Motorbike,19/03/18,19:59,0,17,20,20,N/A,1,0,Residential,Nairobi
Car,Car,10/11/18,17:08,0,20,50,40,0,1,0,Commercial,Kehancha
Car,Bicycle,28/12/18,05:00,0,25,30,28,1,0,0,Agricultural,Nairobi
Pedestrian,Bicycle,07/08/18,00:44,1,18,30,39,N/A,1,0,Commercial,Nairobi
Pedestrian,Car,26/01/18,19:03,0,4,40,47,0,1,0,Industrial,Eldoret
Car,Car,28/11/18,17:44,1,26,50,43,0,1,0,Residential,Nairobi
Car,Car,24/01/18,20:06,0,11,60,60,1,1,0,Agricultural,Nakuru
Bicycle,Pedestrian,10/06/18,09:43,1,9,30,36,N/A,1,0,Commercial,Mombasa
Motorbike,Pedestrian,08/01/18,20:40,0,20,50,50,N/A,1,0,Agricultural,Kehancha
Bicycle,Car,25/09/18,09:03,0,28,40,36,1,1,0,Transport,Nairobi
Motorbike,Car,13/03/18,14:55,1,3,40,48,0,1,0,Residential,Nairobi
Pedestrian,Pedestrian,11/06/18,07:15,1,6,30,29,N/A,1,0,Agricultural,Nairobi
Motorbike,Car,11/12/18,20:29,1,16,60,54,1,1,0,Commercial,Nairobi
Car,Car,07/06/18,18:32,0,8,60,55,0,1,0,Industrial,Nairobi
Car,Pedestrian,08/07/18,07:11,0,14,20,7,1,1,0,Residential,Nairobi
Car,Car,19/11/18,19:40,0,7,60,71,0,1,0,Agricultural,Nairobi
Car,Car,15/07/18,08:57,0,1,50,41,1,1,0,Residential,Nairobi
Car,Car,11/08/18,18:46,0,26,40,44,1,1,0,Agricultural,Nairobi
Motorbike,Car,03/07/18,10:44,1,25,50,51,1,1,1,Residential,Nairobi
Car,Car,11/10/18,10:58,0,9,70,69,1,1,0,Agricultural,Nairobi
Car,Pedestrian,15/09/18,17:58,0,20,50,44,0,1,0,Residential,Kikuyu
Pedestrian,Pedestrian,20/12/18,13:38,0,15,20,8,N/A,0,0,Agricultural,Nairobi
Motorbike,Bicycle,15/08/18,09:42,1,20,20,23,N/A,1,0,Industrial,Nairobi
Car,Car,12/05/18,17:00,0,29,50,50,1,1,0,Agricultural,Nairobi
Car,Car,23/04/18,21:37,0,11,60,47,0,1,1,Residential,Nairobi
Car,Motorbike,28/10/18,19:06,0,12,50,51,1,1,0,Residential,Nairobi
Motorbike,Bicycle,23/01/18,10:29,0,9,20,20,N/A,1,0,Residential,Nairobi
Car,Car,21/04/18,08:55,1,26,20,30,1,1,0,Residential,Nairobi
Car,Car,08/05/18,09:44,1,9,60,60,1,1,0,Commercial,Kisumu
Motorbike,Motorbike,07/01/18,11:06,0,27,20,11,N/A,1,0,Residential,Kisumu
Motorbike,Car,06/12/18,17:51,1,17,60,55,1,1,0,Industrial,Nairobi
Bicycle,Car,16/06/18,19:31,0,32,30,21,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,22/08/18,09:49,0,35,30,18,N/A,1,0,Agricultural,Kisumu
Pedestrian,Pedestrian,10/04/18,10:39,0,31,20,25,N/A,0,0,Transport,Nairobi
Bicycle,Car,18/06/18,17:41,0,14,20,21,1,1,0,Industrial,Nakuru
Car,Car,11/11/18,10:46,0,5,40,34,1,1,0,Residential,Nairobi
Car,Car,21/11/18,01:39,0,29,40,45,1,1,0,Agricultural,Kisumu
Motorbike,Car,27/07/18,14:15,1,10,40,39,0,1,0,Commercial,Kisumu
Car,Motorbike,07/11/18,00:17,0,15,50,48,1,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,07/02/18,17:42,0,0,20,33,N/A,0,0,Residential,Nairobi
Car,Motorbike,12/09/18,19:27,0,22,40,53,1,1,1,Agricultural,Mombasa
Car,Car,08/08/18,17:24,0,20,40,35,1,0,0,Residential,Nairobi
Car,Car,23/02/18,18:44,0,26,50,53,1,1,0,Agricultural,Mombasa
Motorbike,Car,06/11/18,09:26,0,21,20,31,1,1,0,Residential,Nairobi
Motorbike,Pedestrian,20/05/18,20:10,0,12,20,23,N/A,1,0,Commercial,Nairobi
Bicycle,Bicycle,23/02/18,15:52,0,10,30,34,N/A,1,0,Agricultural,Mombasa
Pedestrian,Car,07/08/18,03:44,0,26,30,30,1,1,0,Agricultural,Nairobi
Car,Car,13/12/18,16:17,0,20,70,70,0,1,1,Agricultural,Kisumu
Motorbike,Bicycle,22/03/18,21:42,0,16,30,28,N/A,1,0,Residential,Nairobi
Motorbike,Pedestrian,07/05/18,15:41,0,23,64.0,54.0,N/A,1,0,Transport,Nairobi
Motorbike,Car,02/01/18,16:42,1,10,50,57,1,1,0,Agricultural,Nairobi
Motorbike,Car,07/07/18,00:14,1,24,50,54,1,1,0,Residential,Nairobi
Pedestrian,Car,25/04/18,17:49,1,14,20,27,1,0,0,Commercial,Nairobi
Car,Car,14/04/18,09:33,0,36,60,58,0,1,1,Agricultural,Kisumu
Car,Car,21/02/18,20:08,1,13,70,76,0,1,1,Commercial,Nairobi
Motorbike,Car,19/11/18,20:20,1,24,30,30,1,1,0,Commercial,Nairobi
Car,Car,14/04/18,17:01,0,28,40,38,1,1,0,Residential,Mombasa
Pedestrian,Pedestrian,08/10/18,19:33,0,15,20,20,N/A,0,0,Residential,Nairobi
Car,Pedestrian,11/03/18,10:12,0,19,40,45,0,1,0,Agricultural,Kehancha
Car,Pedestrian,26/08/18,17:48,0,2,50,48,1,0,0,Residential,Mombasa
Car,Pedestrian,03/03/18,17:23,0,15,50,43,1,1,0,Industrial,Nakuru
Car,Car,15/08/18,09:49,0,25,70,74,1,1,1,Agricultural,Mombasa
Bicycle,Bicycle,05/06/18,19:38,0,27,30,34,N/A,1,0,Agricultural,Mombasa
Pedestrian,Bicycle,06/09/18,20:32,1,14,20,17,N/A,1,0,Commercial,Nairobi
Bicycle,Motorbike,24/02/18,19:46,1,34,30,30,N/A,1,0,Residential,Kisumu
Pedestrian,Motorbike,18/10/18,17:52,0,15,30,31,N/A,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,15/05/18,15:37,1,11,30,21,N/A,1,0,Commercial,Eldoret
Bicycle,Pedestrian,08/02/18,18:08,0,24,20,17,N/A,0,0,Residential,Nakuru
Bicycle,Pedestrian,24/04/18,18:03,0,29,20,25,N/A,0,0,Agricultural,Mombasa
Motorbike,Motorbike,05/05/18,09:27,0,20,40,42,N/A,1,0,Agricultural,Nairobi
Car,Motorbike,04/12/18,02:51,0,15,50,43,1,1,0,Commercial,Nairobi
Car,Car,10/01/18,08:37,0,40,50,53,1,1,0,Transport,Nairobi
Car,Pedestrian,18/07/18,19:44,0,6,30,23,1,1,0,Agricultural,Nairobi
Car,Car,08/11/18,01:43,1,6,70,70,0,1,0,Commercial,Kehancha
Car,Car,06/09/18,11:14,0,26,50,44,1,1,0,Industrial,Kehancha
Car,Car,03/07/18,17:58,0,21,70,58,1,1,0,Residential,Nairobi
Bicycle,Car,22/05/18,17:40,0,24,30,22,1,0,0,Transport,Nairobi
Bicycle,Bicycle,14/04/18,08:37,0,29,30,32,N/A,1,0,Residential,Mombasa
Car,Car,01/05/18,12:11,1,16,60,57,1,1,0,Residential,Nairobi
Car,Pedestrian,26/06/18,10:08,0,21,30,33,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,10/07/18,02:55,0,31,30,24,N/A,0,0,Industrial,Nairobi
Motorbike,Motorbike,19/12/18,08:17,0,11,40,34,N/A,1,0,Agricultural,Nairobi
Motorbike,Bicycle,24/11/18,17:33,0,22,30,33,N/A,1,0,Commercial,Nairobi
Car,Motorbike,25/10/18,10:11,0,18,50,51,1,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,10/11/18,17:25,1,1,40,48,N/A,1,0,Commercial,Kikuyu
Bicycle,Pedestrian,17/03/18,10:04,0,18,20,18,N/A,0,0,Commercial,Mombasa
Bicycle,Car,16/04/18,20:16,0,9,30,32,1,1,0,Residential,Nairobi
Pedestrian,Motorbike,09/02/18,09:45,0,41,30,37,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,27/08/18,09:30,0,20,20,26,N/A,1,0,Residential,Nairobi
Car,Car,24/07/18,18:33,0,18,40,43,0,1,0,Agricultural,Mombasa
Car,Car,19/03/18,09:28,1,22,70,72,0,1,1,Residential,Mombasa
Bicycle,Motorbike,23/05/18,18:48,0,27,30,30,N/A,1,0,Agricultural,Nakuru
Pedestrian,Bicycle,02/04/18,17:21,0,19,30,26,N/A,0,0,Residential,Kisumu
Bicycle,Pedestrian,20/10/18,07:47,1,28,20,26,N/A,1,0,Commercial,Nairobi
Motorbike,Car,09/09/18,13:27,0,2,40,42,1,1,0,Residential,Nairobi
Motorbike,Car,10/01/18,09:55,0,11,70,82,1,1,0,Agricultural,Kehancha
Pedestrian,Bicycle,23/09/18,18:27,1,46,20,24,N/A,0,0,Industrial,Mombasa
Car,Motorbike,07/12/18,19:49,0,18,40,39,1,1,0,Residential,Nairobi
Car,Motorbike,28/03/18,18:17,1,17,40,47,1,1,0,Residential,Nairobi
Car,Car,11/05/18,10:08,0,11,60,58,1,1,0,Commercial,Kikuyu
Car,Car,25/01/18,09:25,0,19,50,43,1,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,28/03/18,09:49,1,9,20,17,N/A,1,0,Commercial,Nairobi
Bicycle,Pedestrian,23/07/18,11:41,0,30,30,32,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,14/05/18,20:28,0,10,40,39,N/A,1,0,Agricultural,Mombasa
Motorbike,Car,28/03/18,17:02,1,27,70,63,1,1,0,Commercial,Nairobi
Motorbike,Motorbike,23/07/18,18:08,0,22,40,30,N/A,1,0,Agricultural,Nairobi
Car,Pedestrian,01/07/18,15:06,0,2,40,37,1,0,0,Residential,Nairobi
Bicycle,Pedestrian,19/03/18,10:13,1,7,40,31,N/A,0,0,Residential,Nairobi
Car,Car,24/06/18,18:00,0,17,40,41,1,1,0,Commercial,Mombasa
Car,Motorbike,13/11/18,18:22,0,2,60,56,1,1,0,Agricultural,Kisumu
Car,Pedestrian,04/08/18,17:24,0,21,20,19,1,0,0,Transport,Mombasa
Pedestrian,Car,13/04/18,18:10,0,17,40,46,1,1,0,Industrial,Mombasa
Car,Car,19/02/18,20:16,1,20,50,51,1,1,0,Agricultural,Kikuyu
Pedestrian,Bicycle,06/12/18,17:35,0,3,20,5,N/A,0,0,Residential,Mombasa
Car,Car,02/07/18,20:15,1,26,60,64,1,1,0,Commercial,Nairobi
Car,Car,02/02/18,19:58,0,30,40,43,1,1,0,Industrial,Nairobi
Pedestrian,Car,02/03/18,19:56,0,23,40,33,0,1,0,Residential,Nairobi
Motorbike,Car,04/01/18,18:19,1,26,60,68,1,1,0,Residential,Nairobi
Motorbike,Bicycle,11/12/18,20:06,1,21,30,16,N/A,1,0,Residential,Nairobi
Bicycle,Pedestrian,08/08/18,20:19,1,15,20,22,N/A,1,0,Residential,Nairobi
Motorbike,Car,11/06/18,15:45,0,23,50,49,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,10/09/18,04:03,0,27,30,37,N/A,0,0,Residential,Nairobi
Car,Pedestrian,22/01/18,17:52,0,13,30,28,1,0,0,Residential,Nairobi
Motorbike,Pedestrian,08/01/18,18:03,1,1,20,24,N/A,1,0,Commercial,Nairobi
Bicycle,Bicycle,14/12/18,19:31,0,3,20,26,N/A,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,20/02/18,09:25,0,12,40,48,N/A,1,0,Industrial,Nairobi
Bicycle,Bicycle,11/05/18,16:33,1,19,20,10,N/A,1,0,Commercial,Mombasa
Pedestrian,Pedestrian,23/12/18,08:36,0,7,20,27,N/A,0,0,Agricultural,Kehancha
Pedestrian,Car,14/03/18,14:26,0,27,40,40,0,1,0,Residential,Nakuru
Car,Pedestrian,05/07/18,18:58,1,22,40,44,0,1,0,Residential,Mombasa
Car,Motorbike,24/04/18,07:33,1,11,40,45,1,1,0,Residential,Nairobi
Pedestrian,Motorbike,10/02/18,18:09,0,17,20,22,N/A,1,0,Agricultural,Kehancha
Motorbike,Bicycle,10/05/18,08:23,0,11,20,20,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,01/09/18,20:34,0,16,30,30,N/A,1,0,Residential,Kehancha
Motorbike,Car,15/09/18,05:45,1,21,50,50,1,1,0,Residential,Mombasa
Car,Car,07/01/18,09:36,0,1,70,69,1,1,0,Commercial,Nairobi
Bicycle,Bicycle,14/03/18,08:43,1,0,20,32,N/A,1,0,Commercial,Nakuru
Pedestrian,Bicycle,06/06/18,17:01,0,9,30,30,N/A,0,0,Residential,Mombasa
Car,Motorbike,19/02/18,19:26,0,15,50,45,1,1,1,Residential,Nairobi
Bicycle,Car,03/01/18,04:31,1,2,40,36,1,0,0,Transport,Nairobi
Bicycle,Motorbike,12/01/18,09:49,1,5,20,19,N/A,1,0,Commercial,Kehancha
Motorbike,Car,06/09/18,17:16,0,11,70,74,0,1,0,Commercial,Mombasa
Car,Car,14/02/18,17:04,1,26,50,58,1,1,0,Transport,Nairobi
Car,Pedestrian,01/02/18,18:06,1,37,40,42,1,1,0,Residential,Nairobi
Motorbike,Pedestrian,13/07/18,08:08,1,17,40,34,N/A,1,0,Residential,Mombasa
Car,Car,13/09/18,05:26,0,28,50,56,1,1,0,Agricultural,Nairobi
Car,Car,07/09/18,10:51,0,15,60,63,1,1,1,Residential,Nairobi
Car,Car,03/05/18,10:58,0,11,40,40,1,1,0,Residential,Nairobi
Motorbike,Car,16/09/18,12:10,1,18,30,40,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,01/03/18,15:23,0,13,30,23,N/A,1,0,Transport,Nairobi
Pedestrian,Car,27/04/18,11:28,1,25,30,23,0,1,0,Residential,Nakuru
Car,Car,09/12/18,19:55,0,15,40,47,1,1,0,Residential,Nairobi
Motorbike,Car,24/03/18,10:09,1,17,40,40,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,07/09/18,08:28,0,19,30,39,N/A,1,0,Agricultural,Mombasa
Car,Car,06/07/18,08:43,0,16,50,47,0,1,0,Agricultural,Nakuru
Pedestrian,Pedestrian,20/12/18,12:38,1,4,20,24,N/A,0,0,Commercial,Nairobi
Bicycle,Car,26/04/18,10:39,1,19,30,35,1,1,0,Commercial,Nairobi
Bicycle,Car,15/07/18,03:48,0,18,40,36,1,1,0,Residential,Kehancha
Bicycle,Bicycle,19/02/18,02:47,0,27,30,33,N/A,1,0,Agricultural,Nairobi
Car,Motorbike,23/12/18,08:16,0,7,40,51,1,1,0,Agricultural,Kehancha
Car,Car,25/04/18,02:03,1,20,50,37,1,1,0,Residential,Nairobi
Motorbike,Car,09/10/18,16:48,0,33,70,81,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,27/01/18,13:22,0,23,20,29,N/A,1,0,Residential,Nairobi
Car,Car,06/11/18,10:38,0,7,60,57,1,1,0,Agricultural,Nakuru
Car,Car,03/08/18,18:16,0,27,50,50,1,1,0,Agricultural,Nairobi
Bicycle,Motorbike,28/07/18,00:50,1,19,40,47,N/A,1,0,Commercial,Nairobi
Car,Car,21/07/18,17:55,0,7,50,39,1,1,0,Residential,Mombasa
Car,Car,16/01/18,09:51,0,7,40,44,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,19/07/18,10:17,0,0,40,47,N/A,1,0,Agricultural,Nairobi
Bicycle,Bicycle,20/02/18,09:59,0,17,30,36,N/A,1,0,Residential,Kikuyu
Bicycle,Car,02/03/18,23:16,1,9,40,48,1,1,0,Residential,Nairobi
Car,Car,09/03/18,17:23,0,24,50,62,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,24/07/18,08:12,0,15,30,31,N/A,1,0,Agricultural,Nairobi
Pedestrian,Car,03/12/18,09:01,1,19,30,26,0,1,0,Residential,Kehancha
Bicycle,Bicycle,01/08/18,18:30,1,22,20,11,N/A,1,0,Commercial,Nairobi
Motorbike,Car,20/03/18,16:52,1,4,50,59,1,1,1,Residential,Nairobi
Car,Car,16/02/18,18:14,0,13,60,51,1,1,0,Residential,Nairobi
Motorbike,Bicycle,20/04/18,00:53,0,6,40,39,N/A,1,0,Industrial,Mombasa
Bicycle,Motorbike,12/09/18,00:20,1,19,30,35,N/A,1,0,Residential,Nairobi
Pedestrian,Car,21/06/18,08:49,1,14,30,35,1,1,0,Residential,Mombasa
Car,Motorbike,09/11/18,18:42,0,12,40,32,0,1,1,Agricultural,Mombasa
Car,Car,28/01/18,18:15,1,0,70,58,0,0,0,Commercial,Kikuyu
Pedestrian,Car,28/02/18,20:38,0,15,40,52,1,1,0,Residential,Kikuyu
Motorbike,Car,23/12/18,03:07,0,20,40,46,1,1,0,Agricultural,Nairobi
Motorbike,Bicycle,12/09/18,19:59,0,22,40,50,N/A,1,0,Residential,Kisumu
Car,Pedestrian,28/11/18,17:48,0,20,20,17,1,0,0,Residential,Nairobi
Bicycle,Pedestrian,10/07/18,19:08,1,18,20,25,N/A,1,0,Industrial,Mombasa
Bicycle,Bicycle,11/02/18,20:18,0,26,48.0,48.0,N/A,1,0,Residential,Nairobi
Car,Car,02/07/18,17:41,1,24,50,46,1,0,0,Residential,Mombasa
Motorbike,Car,15/05/18,20:28,1,17,20,22,1,1,0,Transport,Nairobi
Bicycle,Motorbike,27/01/18,19:31,1,25,64.0,63.0,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,01/10/18,20:01,1,13,20,10,N/A,0,0,Commercial,Mombasa
Car,Motorbike,28/02/18,05:40,1,7,40,34,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,25/03/18,08:06,0,14,30,27,N/A,1,0,Industrial,Nairobi
Car,Car,15/11/18,14:46,0,6,50,47,1,1,0,Agricultural,Nairobi
Car,Car,04/02/18,12:52,0,6,50,60,0,1,0,Residential,Nairobi
Bicycle,Pedestrian,10/10/18,09:47,0,20,30,34,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,10/09/18,08:24,0,28,50,42,N/A,1,0,Transport,Nairobi
Pedestrian,Car,19/09/18,08:27,0,25,40,41,1,1,0,Transport,Nairobi
Motorbike,Pedestrian,19/08/18,17:48,0,17,40,44,N/A,1,0,Residential,Nairobi
Car,Car,10/09/18,10:07,1,18,60,60,0,1,0,Residential,Kikuyu
Car,Motorbike,07/04/18,20:24,0,15,40,31,0,1,0,Transport,Kikuyu
Pedestrian,Pedestrian,22/04/18,20:10,0,0,20,12,N/A,0,0,Agricultural,Eldoret
Car,Motorbike,16/10/18,08:50,0,4,40,47,1,1,1,Residential,Kehancha
Pedestrian,Motorbike,04/01/18,18:07,1,13,40,33,N/A,1,0,Commercial,Nairobi
Car,Car,14/11/18,20:53,0,10,40,26,1,1,0,Transport,Mombasa
Car,Car,20/07/18,08:35,1,21,60,72,1,1,0,Residential,Mombasa
Car,Motorbike,02/03/18,18:53,0,12,40,45,1,1,0,Agricultural,Kehancha
Car,Motorbike,11/03/18,06:52,0,19,70,77,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,08/07/18,17:20,0,22,20,22,N/A,0,0,Residential,Nairobi
Car,Car,04/06/18,19:52,0,27,60,49,1,1,0,Agricultural,Kehancha
Motorbike,Bicycle,19/07/18,17:26,0,13,20,18,N/A,1,0,Residential,Nairobi
Car,Pedestrian,02/12/18,20:20,0,26,30,35,1,1,0,Agricultural,Nairobi
Car,Car,07/06/18,20:22,1,14,50,50,1,1,0,Commercial,Mombasa
Car,Pedestrian,18/06/18,10:24,1,27,20,17,1,1,0,Commercial,Mombasa
Bicycle,Motorbike,02/03/18,16:35,1,17,20,26,N/A,1,0,Agricultural,Kisumu
Bicycle,Pedestrian,18/02/18,20:41,0,10,20,17,N/A,1,0,Residential,Nairobi
Car,Car,06/10/18,10:25,0,21,70,65,0,1,0,Transport,Kehancha
Car,Motorbike,25/07/18,09:34,1,16,60,58,0,1,1,Transport,Mombasa
Car,Bicycle,06/05/18,19:56,0,0,20,20,1,1,0,Residential,Mombasa
Pedestrian,Pedestrian,04/09/18,09:04,0,4,20,10,N/A,0,0,Agricultural,Kisumu
Bicycle,Bicycle,19/01/18,03:28,0,11,20,26,N/A,0,0,Residential,Mombasa
Car,Motorbike,07/03/18,17:38,0,35,30,17,1,1,0,Agricultural,Mombasa
Car,Car,18/12/18,17:48,0,21,50,50,0,1,0,Agricultural,Eldoret
Pedestrian,Pedestrian,20/06/18,23:46,0,21,20,23,N/A,0,0,Residential,Kikuyu
Car,Car,09/12/18,06:50,0,25,60,56,1,1,0,Agricultural,Nairobi
Car,Car,21/11/18,10:32,0,32,50,48,0,1,0,Agricultural,Mombasa
Bicycle,Car,08/07/18,09:05,1,31,20,18,1,1,0,Residential,Nairobi
Car,Pedestrian,12/04/18,14:21,0,35,40,40,1,1,0,Residential,Nairobi
Car,Pedestrian,02/05/18,16:23,0,17,40,40,1,1,0,Agricultural,Nairobi
Car,Car,08/02/18,23:20,0,5,64.0,59.0,1,1,1,Residential,Nairobi
Car,Car,18/01/18,17:32,0,18,60,67,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,09/01/18,08:45,1,19,30,18,N/A,0,0,Residential,Nairobi
Car,Motorbike,20/06/18,00:45,0,17,40,36,1,1,0,Commercial,Nairobi
Motorbike,Car,24/10/18,20:57,1,4,40,37,1,1,0,Industrial,Kikuyu
Car,Pedestrian,23/08/18,20:32,0,11,40,32,1,1,0,Residential,Kehancha
Motorbike,Bicycle,04/10/18,08:06,0,22,20,18,N/A,1,0,Commercial,Nairobi
Car,Bicycle,28/07/18,19:05,0,29,20,20,1,1,0,Residential,Kisumu
Bicycle,Car,06/05/18,17:11,0,19,30,27,0,1,0,Residential,Eldoret
Bicycle,Bicycle,15/07/18,22:12,0,0,30,36,N/A,0,0,Industrial,Nairobi
Car,Car,07/05/18,13:20,0,11,50,50,1,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,18/05/18,19:53,1,32,40,42,N/A,1,0,Commercial,Nairobi
Car,Bicycle,16/09/18,18:32,0,23,30,20,1,0,0,Agricultural,Nairobi
Bicycle,Pedestrian,23/07/18,22:52,0,24,30,35,N/A,1,0,Transport,Nairobi
Bicycle,Pedestrian,14/08/18,10:44,0,29,30,35,N/A,1,0,Industrial,Mombasa
Car,Car,04/06/18,09:22,0,26,50,58,0,1,1,Residential,Eldoret
Car,Car,11/03/18,21:30,1,20,50,48,1,1,0,Commercial,Nairobi
Motorbike,Bicycle,08/09/18,20:10,0,29,40,32,N/A,1,0,Industrial,Kehancha
Car,Car,04/07/18,14:22,0,9,50,56,1,1,0,Agricultural,Nairobi
Car,Motorbike,14/07/18,10:04,0,21,60,59,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,09/11/18,01:59,0,7,20,19,N/A,0,0,Residential,Nakuru
Motorbike,Pedestrian,15/08/18,08:31,0,5,20,23,N/A,1,0,Agricultural,Nairobi
Pedestrian,Car,19/12/18,10:26,1,20,20,17,1,1,0,Residential,Nairobi
Motorbike,Car,23/04/18,17:15,0,15,50,38,0,1,0,Residential,Nairobi
